feature,gain
V7,3634.022994995117
V159,3628.5593795776367
D6,3548.8350143432617
V23,3514.2199096679688
V5,3470.1160049438477
V160,3458.0526275634766
V262,3454.9911041259766
V94,3397.737617492676
V289,3254.642303466797
V77,3137.882537841797
V124,3044.510498046875
V217,3004.0589752197266
V69,2926.831008911133
V176,2923.1129150390625
C3,2773.236015319824
V225,2732.878044128418
V24,2688.095977783203
V145,2651.721878051758
V143,2532.0359420776367
V11,2512.026969909668
V139,2323.4869995117188
V33,2196.6717224121094
V3,2193.3383026123047
addr2,2179.070114135742
V10,2167.0335235595703
V205,2134.3859939575195
V52,2017.5890045166016
V164,1972.766990661621
id_11,1950.172004699707
V66,1925.5174560546875
V306,1919.807716369629
V335,1889.5339584350586
V74,1874.650001525879
V25,1793.7579956054688
V271,1749.5480194091797
V300,1745.912971496582
V267,1718.0430297851562
V47,1700.4670028686523
V26,1575.125
V152,1560.901985168457
V150,1555.5499877929688
V6,1550.447120666504
V105,1490.532569885254
V154,1486.467041015625
id_32,1485.199951171875
V266,1467.2480010986328
V261,1460.3449783325195
V321,1451.5659866333008
V248,1431.2223281860352
V137,1424.9400024414062
V332,1374.5229949951172
V316,1347.7798156738281
V51,1329.400993347168
V264,1311.8559875488281
V333,1290.1543807983398
V288,1288.9306030273438
V295,1273.0410919189453
V134,1257.162986755371
V58,1207.9034042358398
V126,1179.6455917358398
V293,1171.4539947509766
V166,1171.3607788085938
V206,1170.5680084228516
V161,1158.9389953613281
V34,1097.2867126464844
V301,1089.4033813476562
V272,1080.885009765625
V219,1071.3199920654297
V234,1056.3991165161133
V323,1054.7440032958984
V170,1042.5008010864258
V280,1020.1809921264648
V73,1006.2099914550781
V253,993.5239868164062
V178,979.9753952026367
V43,954.0339965820312
V268,949.0786895751953
V326,946.9319915771484
V8,946.0280151367188
V270,937.3310089111328
V224,902.3739929199219
V151,901.031005859375
V215,879.5920104980469
V292,862.6210021972656
V115,862.1460189819336
V209,843.1049880981445
DeviceType,812.5390167236328
V64,800.6179962158203
V286,796.7960205078125
V221,779.2070007324219
V207,776.3128890991211
V303,775.7269973754883
V100,744.7530059814453
V203,734.2161102294922
V103,733.1980056762695
V263,709.0811004638672
V223,703.81298828125
D7,693.7476043701172
V331,671.0580139160156
V251,649.6530151367188
id_37,641.2840118408203
id_25,606.5252838134766
V216,588.6931991577148
V279,586.3810043334961
V231,584.3059997558594
V339,568.1730041503906
V60,565.1529922485352
V180,554.6750030517578
id_26,550.9109878540039
V230,539.5399932861328
id_07,529.1455993652344
V274,519.1939926147461
V226,506.35301208496094
V163,504.2939987182617
V72,496.8554992675781
V135,495.59400939941406
V98,494.8609924316406
V179,491.35801696777344
V229,490.7149887084961
