threshold,tp,fp,fn,tn,precision,recall,f1,fn_loss,fp_loss,total_cost,savings
0.001,4064,114042,0,2,0.034409767496994224,1.0,0.06653024474093476,0.0,282874541.30300003,282874541.30300003,-224934122.74300003
0.00350125313283208,4064,113834,0,210,0.03447047447793856,1.0,0.06664370869615127,0.0,282650444.836,282650444.836,-224710026.27600002
0.00600250626566416,4063,113254,1,790,0.03463266193305318,0.999753937007874,0.06694622716899679,5278.25,281902489.477,281907767.727,-223967349.167
0.008503759398496239,4057,112265,7,1779,0.034877323292240504,0.9982775590551181,0.06739986377153488,34528.225000000006,280420643.12299997,280455171.348,-222514752.788
0.01100501253132832,4052,110804,12,3240,0.03527895799958208,0.9970472440944882,0.06814665321224353,55020.475,278208870.13400006,278263890.6090001,-220323472.04900008
0.0135062656641604,4050,109011,14,5033,0.03582137076445459,0.9965551181102362,0.06915688367129136,67729.26,275381105.07299995,275448834.33299994,-217508415.77299994
0.01600751879699248,4047,106914,17,7130,0.03647227404223105,0.9958169291338582,0.07036731145403172,81800.515,272162138.206,272243938.72099996,-214303520.16099995
0.01850877192982456,4045,104773,19,9271,0.037172159017809556,0.9953248031496063,0.07166775925302529,101537.015,268780937.01900005,268882474.03400004,-210942055.47400004
0.021010025062656642,4044,102438,20,11606,0.037978249845044235,0.9950787401574803,0.07316411267707561,105162.015,265070720.047,265175882.06199998,-207235463.50199997
0.023511278195488722,4040,99743,24,14301,0.03892737731613077,0.9940944881889764,0.07492095283132587,132248.22,260721063.75599995,260853311.97599995,-202912893.41599995
0.026012531328320803,4034,97151,30,16893,0.03986756930375056,0.9926181102362205,0.07665631027373182,171171.11000000002,256344634.51400006,256515805.62400007,-198575387.06400007
0.028513784461152884,4030,94667,34,19377,0.04083204150075483,0.9916338582677166,0.07843442551162405,190994.83000000002,252301498.01,252492492.84,-194552074.28
0.03101503759398496,4028,92380,36,21664,0.041780765081735956,0.9911417322834646,0.08018154311649017,206570.58,248238328.16699997,248444898.74699998,-190504480.18699998
0.03351629072681704,4025,90146,39,23898,0.04274139597115885,0.9904035433070866,0.0819463531327938,220469.62500000003,244404544.98599997,244625014.61099997,-186684596.05099997
0.03601754385964912,4025,88019,39,26025,0.04372908608926166,0.9904035433070866,0.0837599367378366,220469.62500000003,240427595.908,240648065.533,-182707646.973
0.0385187969924812,4018,85892,46,28152,0.04468913357802247,0.9886811023622047,0.08551301423798072,263235.71,236273099.45900008,236536335.1690001,-178595916.6090001
0.04102005012531328,4013,83825,51,30219,0.04568637719438057,0.9874507874015748,0.08733215816848383,299616.245,232300813.868,232600430.113,-174660011.553
0.043521303258145363,4005,81823,59,32221,0.046663093629118704,0.9854822834645669,0.08910692831397676,363384.645,228544408.445,228907793.09,-170967374.53
0.046022556390977444,4001,79932,63,34112,0.047668974062645204,0.984498031496063,0.09093491823584894,402007.64499999996,225011160.709,225413168.354,-167472749.794
0.048523809523809525,3997,78058,67,35986,0.04871123027237828,0.983513779527559,0.09282504441528583,436044.895,221430758.492,221866803.38700002,-163926384.82700002
0.051025062656641605,3990,76324,74,37720,0.049680005976542076,0.9817913385826772,0.09457441513190644,639456.645,218142707.232,218782163.877,-160841745.317
0.053526315789473686,3985,74619,79,39425,0.05069716553864943,0.9805610236220472,0.09640973532684956,669232.85,214722700.635,215391933.48499998,-157451514.92499998
0.056027568922305766,3977,72986,87,41058,0.0516741811000091,0.9785925196850394,0.09816480926111051,728260.205,211602449.20900002,212330709.41400003,-154390290.85400003
0.05852882205513785,3972,71443,92,42601,0.052668567261154944,0.9773622047244095,0.0999509304344544,752401.505,208497011.66200003,209249413.16700003,-151308994.60700002
0.06103007518796992,3966,69943,98,44101,0.053660582608342694,0.9758858267716536,0.10172752106498405,819448.005,205397738.97400004,206217186.97900003,-148276768.41900003
0.06353132832080201,3959,68494,105,45550,0.05464231984872952,0.9741633858267716,0.1034802723577767,982680.2550000001,202324217.393,203306897.648,-145366479.088
0.06603258145363408,3953,67156,111,46888,0.05559071284928771,0.9726870078740157,0.1051707394942333,1033365.1050000001,199545401.093,200578766.19799998,-142638347.63799998
0.06853383458646617,3944,65818,120,48226,0.056535076402626075,0.9704724409448819,0.10684582667352967,1112217.355,196709066.313,197821283.66799998,-139880865.10799998
