t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.02,0.9400000000000001,7373202.755999999,32841603.773120005,531130.0,40745936.529120006,17194482.030879997,0.8852362204724409,106226,1237,0.8993971619195991,0.01047346496426999,103250,169
0.02,0.9600000000000001,7654249.18425,32639514.49592,532185.0,40825948.68017,17114469.879830003,0.8795152559055118,106437,1026,0.9011836624106749,0.008686964473194026,103306,113
0.02,0.98,8106110.734499998,32499796.327759996,534320.0,41140227.062259994,16800191.497740008,0.8659694881889763,106864,599,0.9047989975276866,0.005071629356182477,103366,53
0.04,0.04,289397.96,518639283.22199994,0.0,518928681.1819999,-460988262.6219999,0.9879429133858267,0,88679,0.0,0.7508297490432485,0,84664
0.04,0.06,365324.10425000003,459116449.52024007,70760.0,459552533.6244901,-401612115.0644901,0.9862450787401574,14152,74527,0.11982253530666848,0.6310072137365801,14106,70558
0.04,0.08,435227.65775,411611268.74660003,122270.0,412168766.40435004,-354228347.84435004,0.9845841535433071,24454,64225,0.20704778677142954,0.543781962271819,24363,60301
0.04,0.1,535664.09225,372030102.15187997,162095.0,372727861.24412996,-314787442.68412995,0.9824434055118111,32419,56260,0.2744860636028042,0.47634368544044436,32270,52394
0.04,0.12000000000000001,658009.1869999999,336117472.9006,194720.0,336970202.0876,-279029783.5276,0.9807455708661418,38944,49735,0.3297321095946083,0.4210976394486402,38749,45915
0.04,0.13999999999999999,736163.4755,306018067.49135995,220975.0,306975205.96685994,-249034787.40685993,0.9787893700787402,44195,44484,0.37419141802418127,0.3766383310190673,43947,40717
0.04,0.16,798840.4242499999,278543776.61832,243205.0,279585822.04257,-221645403.48257,0.9768331692913386,48641,40038,0.41183493074135535,0.3389948183018932,48340,36324
0.04,0.18,876100.358,255887298.37652,261610.0,257025008.73452002,-199084590.17452002,0.9751722440944882,52322,36357,0.4430013208250076,0.3078284282182409,51976,32688
0.04,0.19999999999999998,975993.3799999999,234402585.78336,277640.0,235656219.16336,-177715800.60336,0.9734005905511811,55528,33151,0.470145968096996,0.28068378094625257,55134,29530
0.04,0.22,1073599.94225,215412074.49104002,291470.0,216777144.43329003,-158836725.87329003,0.9717396653543308,58294,30385,0.49356521150133775,0.2572645375419108,57855,26809
0.04,0.24,1216901.4200000002,199965952.9016,303210.0,201486064.3216,-143545645.7616,0.9701156496062993,60642,28037,0.5134453212314153,0.23738442781183325,60159,24505
0.04,0.26,1287289.721,186387248.4614,313580.0,187988118.1824,-130047699.62239999,0.9688238188976378,62716,25963,0.5310055203711856,0.21982422867206286,62198,22466
0.04,0.28,1381330.55375,173183337.5366,323305.0,174887973.09035,-116947554.53035,0.9671998031496063,64661,24018,0.5474734988315779,0.20335625021167067,64099,20565
0.04,0.30000000000000004,1508272.613,162563044.76184,331835.0,164403152.37484,-106462733.81483999,0.9653543307086614,66367,22312,0.5619179056456802,0.18891184339756834,65755,18909
0.04,0.32,1707223.85375,151521150.69568,339865.0,153568239.54942998,-95627820.98942998,0.9629183070866142,67973,20706,0.5755156297625902,0.17531411928065838,67295,17369
0.04,0.34,1817177.2234999998,141807692.5922,347235.0,143972104.81570002,-86031686.25570002,0.9612204724409449,69447,19232,0.5879957327192061,0.1628340163240424,68723,15941
0.04,0.36000000000000004,1938481.16675,133434362.87288001,353565.0,135726409.03963003,-77785990.47963002,0.9594857283464566,70713,17966,0.5987147356656619,0.15211501337758662,69942,14722
0.04,0.38,2012450.54975,125871345.0458,359385.0,128243180.59555,-70302762.03555,0.9580831692913386,71877,16802,0.6085701222609815,0.14225962678226708,71068,13596
0.04,0.4,2096795.9794999997,118748711.05416003,364905.0,121210412.03366002,-63269993.47366002,0.9563115157480314,72981,15698,0.6179174992379856,0.13291224980526298,72124,12540
0.04,0.42000000000000004,2218623.809,112999561.52084002,369780.0,115587965.32984002,-57647546.76984002,0.9545029527559055,73956,14723,0.6261726555356115,0.12465709350763708,73050,11614
0.04,0.44,2308267.175,106880484.64156,374670.0,109563421.81656,-51623003.25656,0.9524729330708661,74934,13745,0.6344532123141532,0.1163765367290954,73973,10691
0.04,0.46,2486252.98925,101195608.83272001,379225.0,104061086.82197002,-46120668.26197001,0.9501476377952757,75845,12834,0.6421664916855759,0.10866325735767264,74821,9843
0.04,0.48000000000000004,2582197.7105,96380367.41332,383295.0,99345860.12382,-41405441.563820004,0.9481545275590552,76659,12020,0.649058488840722,0.1017712602025265,75581,9083
0.04,0.5,2722068.38525,91540250.68844001,387255.0,94649574.07369001,-36709155.51369001,0.94564468503937,77451,11228,0.6557642158024859,0.0950655332407627,76305,8359
0.04,0.52,2856087.4512499995,86109077.01180002,391110.0,89356274.46305002,-31415855.90305002,0.9435777559055117,78222,10457,0.6622921393978393,0.08853760964540928,77020,7644
0.04,0.54,3013110.3327499996,81166251.58668001,394770.0,84574131.91943,-26633713.35943,0.9409940944881889,78954,9725,0.6684898567412876,0.08233989230196091,77682,6982
0.04,0.56,3208492.5305,76768982.46728,398260.0,80375734.99778,-22435316.437779993,0.9385211614173228,79652,9027,0.6743997019676906,0.07643004707555796,78313,6351
0.04,0.5800000000000001,3416719.81775,72639054.71212001,401360.0,76457134.52987002,-18516715.969870016,0.9360482283464566,80272,8407,0.6796491346902834,0.07118061435296508,78866,5798
0.04,0.6,3561307.4772499995,68813235.95828,404185.0,72778728.43552999,-14838309.87552999,0.9337967519685039,80837,7842,0.6844328919294206,0.06639685711382802,79370,5294
0.04,0.62,3696981.87125,65015138.16288,407080.0,69119200.03413,-11178781.474130005,0.9313238188976377,81416,7263,0.6893351847461645,0.061494564297084026,79882,4782
0.04,0.64,3865058.9884999995,61895445.4706,409715.0,66170219.4591,-8229800.899099998,0.9288139763779527,81943,6736,0.6937972025603685,0.05703254648288007,80341,4323
0.04,0.66,4049483.0,58405319.69308001,412395.0,62867197.69308001,-4926779.133080006,0.9260826771653543,82479,6200,0.6983354218173198,0.05249432722592881,80803,3861
0.04,0.68,4182494.459,54868161.05744,414835.0,59465490.51644,-1525071.9564399943,0.924015748031496,82967,5712,0.7024672333796187,0.048362515663629896,81235,3429
0.04,0.7000000000000001,4432749.86225,51551982.77228001,417445.0,56402177.63453001,1538240.9254699945,0.9210260826771653,83489,5190,0.706886917058963,0.04394283198428557,81676,2988
0.04,0.7200000000000001,4669171.789249999,48422545.686680004,419825.0,53511542.475930005,4428876.084069997,0.9177411417322834,83965,4714,0.7109171266975988,0.03991262234564975,82063,2601
0.04,0.74,4916159.86325,45401871.78204,421940.0,50739971.64529,7200446.91471,0.9148252952755905,84388,4291,0.7144985945067227,0.03633115453652589,82407,2257
0.04,0.76,5181281.429749999,42541051.96796,424165.0,48146498.397709996,9793920.162290007,0.9114665354330708,84833,3846,0.7182663325092289,0.03256341653401971,82761,1903
0.04,0.78,5457143.3105,40077915.824200004,425980.0,45961039.1347,11979379.425300002,0.9083661417322835,85196,3483,0.7213397907000373,0.0294899583432113,83040,1624
0.04,0.8,5688826.203500001,37841075.038600005,427900.0,43957801.24210001,13982617.317899995,0.9050442913385827,85580,3099,0.7245910522572561,0.026238696785992482,83334,1330
0.04,0.8200000000000001,5930237.3525,36004693.1828,429535.0,42364465.5353,15575953.0247,0.9020546259842519,85907,2772,0.7273597046770752,0.023470044366173334,83580,1084
0.04,0.8400000000000001,6225262.2065,34059481.4134,431200.0,40715943.6199,17224474.9401,0.89876968503937,86240,2439,0.7301791580587259,0.02065059098452264,83824,840
0.04,0.86,6507057.727249999,32192490.511640005,432795.0,39132343.23889001,18808075.321109995,0.8947096456692913,86559,2120,0.7328800758627697,0.017949673180478885,84033,631
0.04,0.88,6781789.71425,31087140.227639996,433995.0,38302924.941889994,19637493.61811001,0.8916830708661416,86799,1880,0.7349121143360314,0.01591763470721712,84191,473
0.04,0.9,7114237.236500001,30163762.363279995,435190.0,37713189.59977999,20227228.96022001,0.8876230314960629,87038,1641,0.7369356859823213,0.013894063060927287,84320,344
0.04,0.92,7261344.72275,29363289.163160004,436185.0,37060818.885910004,20879599.674089998,0.8838213582677165,87237,1442,0.7386205845497341,0.01220916449351441,84416,248
0.04,0.9400000000000001,7529803.309249999,28849387.733360004,437210.0,36816401.042610005,21124017.517389998,0.8791707677165354,87442,1237,0.7403562840789786,0.01047346496426999,84495,169
0.04,0.9600000000000001,7810849.737499999,28647298.456159998,438265.0,36896413.19366,21044005.366340004,0.8734498031496063,87653,1026,0.7421427845700546,0.008686964473194026,84551,113
