threshold,tp,fp,fn,tn,precision,recall,f1,fn_loss,fp_loss,total_cost,savings
0.0885438596491228,3906,56703,158,57341,0.0644458743750928,0.9611220472440944,0.12079229353826171,1403077.4300000002,387030821.6980001,388433899.1280001,-330493480.5680001
0.09104511278195489,3899,55713,165,58331,0.0654062940347581,0.9593996062992126,0.12246372259564044,1441072.8900000001,381305019.182,382746092.07199997,-324805673.51199996
0.09354636591478696,3892,54732,172,59312,0.06638919213973798,0.9576771653543307,0.12417049515058702,1604881.6949999998,376186690.01800007,377791571.71300006,-319851153.15300006
0.09604761904761905,3883,53778,181,60266,0.06734187752553719,0.9554625984251969,0.12581611988659377,1689331.1949999998,370946503.35400003,372635834.549,-314695415.989
0.09854887218045112,3874,52903,190,61141,0.06823185444810398,0.953248031496063,0.12734833418254138,1879654.145,366558171.474,368437825.61899996,-310497407.05899996
0.10105012531328321,3863,52005,201,62039,0.06914512780124579,0.9505413385826772,0.12891276780351063,1952225.67,361472669.746,363424895.416,-305484476.856
0.10355137844611528,3856,51096,208,62948,0.07017033047022857,0.9488188976377953,0.13067642673173377,2011239.845,356441707.40199995,358452947.247,-300512528.687
0.10605263157894737,3852,50285,212,63759,0.0711528160038421,0.9478346456692913,0.13236885964158693,2056250.595,352262936.414,354319187.009,-296378768.449
0.10855388471177944,3848,49478,216,64566,0.07215992198927353,0.9468503937007874,0.13410001742463842,2094121.345,347632187.084,349726308.429,-291785889.869
0.11105513784461153,3840,48641,224,65403,0.07316933747451458,0.9448818897637795,0.13582102750022107,2275394.34,342230163.338,344505557.678,-286565139.118
0.1135563909774436,3831,47868,233,66176,0.0741020135785992,0.9426673228346457,0.1374029374316303,2370060.84,337951028.85,340321089.69,-282380671.13
0.11605764411027569,3826,47100,238,66944,0.07512861799473747,0.9414370078740157,0.1391525731951264,2451162.34,333128449.85199994,335579612.1919999,-277639193.6319999
0.11855889724310777,3823,46350,241,67694,0.07619636059235046,0.9406988188976378,0.14097387392370522,2726070.375,328313079.8600001,331039150.2350001,-273098731.6750001
0.12106015037593984,3815,45615,249,68429,0.07717985029334412,0.93873031496063,0.14263281863386548,2784192.4800000004,324149413.906,326933606.38600004,-268993187.82600003
0.12356140350877193,3810,44978,254,69066,0.07809297368205297,0.9375,0.14417619011579502,2823115.79,320448856.67,323271972.46000004,-265331553.90000004
0.12606265664160402,3804,44304,260,69740,0.0790720878024445,0.9360236220472441,0.1458253469293874,2875279.98,316305104.444,319180384.424,-261239965.86400002
0.12856390977443607,3799,43622,265,70422,0.08011218658400286,0.9347933070866141,0.14757696416431967,2897098.485,311978226.46,314875324.945,-256934906.385
0.13106516290726816,3791,42926,273,71118,0.0811481901663206,0.9328248031496063,0.14930781197692047,2977168.95,307455805.832,310432974.782,-252492556.222
0.13356641604010025,3782,42290,282,71754,0.0820889043236673,0.9306102362204725,0.1508696345939046,3054161.2300000004,303819019.968,306873181.198,-248932762.638
0.13606766917293234,3775,41704,289,72340,0.08300534312539853,0.9288877952755905,0.15239287083947278,3111576.98,299916487.942,303028064.922,-245087646.362
0.1385689223057644,3771,41083,293,72961,0.08407276942970526,0.9279035433070866,0.1541763767938182,3166048.23,296017489.278,299183537.508,-241243118.948
0.14107017543859648,3763,40457,301,73587,0.08509724106739032,0.9259350393700787,0.15586943915168586,3320580.4800000004,292217263.50600004,295537843.98600006,-237597425.42600006
0.14357142857142857,3754,39901,310,74143,0.0859924407284389,0.9237204724409449,0.15733774806680775,3389131.325,288342663.454,291731794.779,-233791376.21899998
0.14607268170426066,3742,39316,322,74728,0.08690603372195643,0.9207677165354331,0.1588217817579899,3486613.125,284323527.258,287810140.383,-229869721.823
0.14857393483709272,3737,38710,327,75334,0.08803920182816218,0.9195374015748031,0.1606931693577863,3524756.73,280343703.074,283868459.804,-225928041.24400002
0.1510751879699248,3735,38162,329,75882,0.08914719430985513,0.9190452755905512,0.16252910075933943,3544246.73,277015828.99600005,280560075.7260001,-222619657.16600007
0.1535764411027569,3732,37633,332,76411,0.09022120149885168,0.9183070866141733,0.16430033678927558,3571739.23,273479081.46599996,277050820.696,-219110402.13599998
0.15607769423558898,3727,37123,337,76921,0.09123623011015912,0.9170767716535433,0.16596161553190542,3602840.415,270506026.81,274108867.225,-216168448.66500002
0.15857894736842104,3717,36588,347,77456,0.09222180870859695,0.9146161417322834,0.16754941513218688,3662740.305,266756286.63599998,270419026.941,-212478608.38099998
0.16108020050125313,3714,36093,350,77951,0.09330017333634788,0.9138779527559056,0.16931458138633723,3685681.0549999997,263305400.42799997,266991081.48299998,-209050662.92299998
0.16358145363408522,3708,35622,356,78422,0.094279176201373,0.9124015748031497,0.1708992026547449,3746581.2049999996,260359521.59600002,264106102.80100003,-206165684.24100003
0.16608270676691728,3702,35159,362,78885,0.0952626026092998,0.9109251968503937,0.17248689574839837,3794080.9349999996,257242920.798,261037001.733,-203096583.173
