t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.06,0.28,1811578.7045,78405657.66718,252545.0,80469781.37168,-22529362.811680004,0.9575787401574803,50509,24018,0.4276509635249094,0.20335625021167067,49993,20565
0.06,0.30000000000000004,1938520.76375,73580388.0798,261075.0,75779983.84355,-17839565.283549994,0.9557332677165354,52215,22312,0.44209537033901175,0.18891184339756834,51649,18909
0.06,0.32,2137472.0045,68510353.04672,269105.0,70916930.05122,-12976511.491219997,0.9532972440944881,53821,20706,0.4556930944559217,0.17531411928065838,53189,17369
0.06,0.34,2247425.37425,64071742.39498,276475.0,66595642.76923,-8655224.209229998,0.9515994094488189,55295,19232,0.46817319741253766,0.1628340163240424,54617,15941
0.06,0.36000000000000004,2368729.3175,60242000.73532,282805.0,62893535.052820005,-4953116.492820002,0.9498646653543307,56561,17966,0.47889220035899344,0.15211501337758662,55836,14722
0.06,0.38,2442698.7005,56790184.62178,288625.0,59521508.32228,-1581089.7622799948,0.9484621062992127,57725,16802,0.48874758695431303,0.14225962678226708,56962,13596
0.06,0.4,2527044.13025,53538064.42596001,294145.0,56359253.55621001,1581165.0037899911,0.9466904527559055,58829,15698,0.4980949639313171,0.13291224980526298,58018,12540
0.06,0.42000000000000004,2648871.95975,50934622.45930001,299020.0,53882514.41905001,4057904.1409499943,0.9448818897637795,59804,14723,0.506350120228943,0.12465709350763708,58944,11614
0.06,0.44,2738515.32575,48145338.41966,303910.0,51187763.74541,6752654.81459,0.9428518700787402,60782,13745,0.5146306770074847,0.1163765367290954,59867,10691
0.06,0.46,2916501.1399999997,45551194.915240005,308465.0,48776161.055240005,9164257.504759997,0.9405265748031496,61693,12834,0.5223439563789074,0.10866325735767264,60715,9843
0.06,0.48000000000000004,3012445.8612499996,43366102.20554,312535.0,46691083.06679,11249335.493210003,0.9385334645669291,62507,12020,0.5292359535340536,0.1017712602025265,61475,9083
0.06,0.5,3152316.536,41158031.04310001,316495.0,44626842.579100005,13313575.980899997,0.9360236220472441,63299,11228,0.5359416804958174,0.0950655332407627,62199,8359
0.06,0.52,3286335.602,38651796.204780005,320350.0,42258481.80678,15681936.75322,0.9339566929133858,64070,10457,0.5424696040911708,0.08853760964540928,62914,7644
0.06,0.54,3443358.4834999996,36374217.09222001,324010.0,40141585.575720005,17798832.984279998,0.931373031496063,64802,9725,0.5486673214346192,0.08233989230196091,63576,6982
0.06,0.56,3638740.68125,34360339.33252,327500.0,38326580.01377,19613838.546230003,0.9289000984251969,65500,9027,0.5545771666610221,0.07643004707555796,64207,6351
0.06,0.5800000000000001,3846967.9685,32457293.85494,330600.0,36634861.82344,21305556.736560002,0.9264271653543307,66120,8407,0.559826599383615,0.07118061435296508,64760,5798
0.06,0.6,3991555.628,30691955.67802,333425.0,35016936.30602,22923482.253980003,0.9241756889763779,66685,7842,0.564610356622752,0.06639685711382802,65264,5294
0.06,0.62,4127230.022,28942820.380319998,336320.0,33406370.402319998,24534048.157680005,0.9217027559055119,67264,7263,0.5695126494394961,0.061494564297084026,65776,4782
0.06,0.64,4295307.139250001,27517369.23418,338955.0,32151631.37343,25788787.186570004,0.9191929133858268,67791,6736,0.5739746672537,0.05703254648288007,66235,4323
0.06,0.66,4479731.15075,25907579.945420004,341635.0,30728946.096170004,27211472.463829998,0.9164616141732284,68327,6200,0.5785128865106512,0.05249432722592881,66697,3861
0.06,0.68,4612742.60975,24265490.2276,344075.0,29222307.83735,28718110.722650003,0.91439468503937,68815,5712,0.5826446980729502,0.048362515663629896,67129,3429
0.06,0.7000000000000001,4862998.012999999,22736525.885020003,346685.0,27946208.898020003,29994209.66198,0.9114050196850393,69337,5190,0.5870643817522945,0.04394283198428557,67570,2988
0.06,0.7200000000000001,5099419.9399999995,21285120.942220002,349065.0,26733605.88222,31206812.677780002,0.9081200787401574,69813,4714,0.5910945913909303,0.03991262234564975,67957,2601
0.06,0.74,5346408.014,19875507.1899,351180.0,25573095.203900002,32367323.3561,0.9052042322834646,70236,4291,0.5946760592000542,0.03633115453652589,68301,2257
0.06,0.76,5611529.580499999,18548748.482860003,353405.0,24513683.063360002,33426735.49664,0.9018454724409448,70681,3846,0.5984437972025604,0.03256341653401971,68655,1903
0.06,0.78,5887391.46125,17398871.61098,355220.0,23641483.07223,34298935.487770006,0.8987450787401575,71044,3483,0.6015172553933688,0.0294899583432113,68934,1624
0.06,0.8,6119074.354250001,16366534.418180004,357140.0,22842748.772430003,35097669.78757,0.8954232283464567,71428,3099,0.6047685169505876,0.026238696785992482,69228,1330
0.06,0.8200000000000001,6360485.50325,15520372.29028,358775.0,22239632.79353,35700785.76647,0.892433562992126,71755,2772,0.6075371693704067,0.023470044366173334,69474,1084
0.06,0.8400000000000001,6655510.357249999,14619209.605580002,360440.0,21635159.96283,36305258.59717,0.8891486220472441,72088,2439,0.6103566227520575,0.02065059098452264,69718,840
0.06,0.86,6937305.878,13746909.354700003,362035.0,21046250.2327,36894168.3273,0.8850885826771654,72407,2120,0.6130575405561012,0.017949673180478885,69927,631
0.06,0.88,7212037.864999999,13240496.612699999,363235.0,20815769.4777,37124649.08230001,0.8820620078740157,72647,1880,0.615089579029363,0.01591763470721712,70085,473
0.06,0.9,7544485.387250001,12816578.88052,364430.0,20725494.26777,37214924.29223,0.878001968503937,72886,1641,0.6171131506756528,0.013894063060927287,70214,344
0.06,0.92,7691592.8735,12444451.08046,365425.0,20501468.95396,37438949.60604,0.8742002952755905,73085,1442,0.6187980492430657,0.01220916449351441,70310,248
0.06,0.9400000000000001,7960051.46,12210631.565559998,366450.0,20537133.02556,37403285.53444,0.8695497047244094,73290,1237,0.62053374877231,0.01047346496426999,70389,169
0.06,0.9600000000000001,8241097.88825,12125983.72696,367505.0,20734586.61521,37205831.944790006,0.8638287401574803,73501,1026,0.622320249263386,0.008686964473194026,70445,113
0.06,0.98,8692959.4385,12073692.64288,369640.0,21136292.081380002,36804126.47862,0.8502829724409449,73928,599,0.6259355843803976,0.005071629356182477,70505,53
0.08,0.08,1261595.945,184719419.65600002,0.0,185981015.601,-128040597.04100001,0.9655511811023622,0,64225,0.0,0.543781962271819,0,60301
0.08,0.1,1362032.3795,167244005.95863998,39825.0,168645863.33813998,-110705444.77813998,0.9634104330708662,7965,56260,0.06743827683137467,0.47634368544044436,7907,52394
0.08,0.12000000000000001,1484377.47425,151184742.533,72450.0,152741570.00724998,-94801151.44724998,0.9617125984251969,14490,49735,0.12268432282317879,0.4210976394486402,14386,45915
0.08,0.13999999999999999,1562531.76275,137657014.22838,98705.0,139318250.99113,-81377832.43112999,0.9597563976377952,19741,44484,0.16714363125275172,0.3766383310190673,19584,40717
0.08,0.16,1625208.7115,125206139.19186,120935.0,126952282.90336001,-69011864.34336,0.9578001968503937,24187,40038,0.20478714396992584,0.3389948183018932,23977,36324
0.08,0.18,1702468.64525,114942520.87096,139340.0,116784329.51620999,-58843910.95620999,0.9561392716535433,27868,36357,0.23595353405357808,0.3078284282182409,27613,32688
0.08,0.19999999999999998,1802361.66725,105124826.97438,155370.0,107082558.64163,-49142140.08162999,0.9543676181102363,31074,33151,0.26309818132556645,0.28068378094625257,30771,29530
0.08,0.22,1899968.2295,96426280.12822002,169200.0,98495448.35772002,-40555029.797720015,0.9527066929133858,33840,30385,0.2865174247299082,0.2572645375419108,33492,26809
0.08,0.24,2043269.70725,89377830.5335,180940.0,91602040.24075,-33661621.68075,0.9510826771653543,36188,28037,0.3063975344599858,0.23738442781183325,35796,24505
0.08,0.26,2113658.00825,83185497.51339999,191310.0,85490465.52164999,-27550046.961649984,0.9497908464566929,38262,25963,0.32395773359975616,0.21982422867206286,37835,22466
0.08,0.28,2207698.841,77140154.851,201035.0,79548888.692,-21608470.132,0.9481668307086614,40207,24018,0.3404257120601483,0.20335625021167067,39736,20565
0.08,0.30000000000000004,2334640.90025,72314885.26361999,209565.0,74859091.16386999,-16918672.60386999,0.9463213582677165,41913,22312,0.3548701188742507,0.18891184339756834,41392,18909
