threshold,tp,fp,fn,tn,precision,recall,f1,fn_loss,fp_loss,total_cost,savings
0.001,4064,114042,0,2,0.034409767496994224,1.0,0.06653024474093476,0.0,444269161.9545,444269161.9545,-386328743.3945
0.00350125313283208,4064,113834,0,210,0.03447047447793856,1.0,0.06664370869615127,0.0,443896617.254,443896617.254,-385956198.694
0.00600250626566416,4063,113254,1,790,0.03463266193305318,0.999753937007874,0.06694622716899679,5278.25,442673184.2155,442678462.4655,-384738043.9055
0.008503759398496239,4057,112265,7,1779,0.034877323292240504,0.9982775590551181,0.06739986377153488,34528.225000000006,440277339.6844999,440311867.90949994,-382371449.34949994
0.01100501253132832,4052,110804,12,3240,0.03527895799958208,0.9970472440944882,0.06814665321224353,55020.475,436704005.20100003,436759025.67600006,-378818607.11600006
0.0135062656641604,4050,109011,14,5033,0.03582137076445459,0.9965551181102362,0.06915688367129136,67729.26,432148582.60949993,432216311.8694999,-374275893.3094999
0.01600751879699248,4047,106914,17,7130,0.03647227404223105,0.9958169291338582,0.07036731145403172,81800.515,426953157.30899996,427034957.82399994,-369094539.26399994
0.01850877192982456,4045,104773,19,9271,0.037172159017809556,0.9953248031496063,0.07166775925302529,101537.015,421506680.5285,421608217.5435,-363667798.9835
0.021010025062656642,4044,102438,20,11606,0.037978249845044235,0.9950787401574803,0.07316411267707561,105162.015,415532730.07049996,415637892.08549994,-357697473.52549994
0.023511278195488722,4040,99743,24,14301,0.03892737731613077,0.9940944881889764,0.07492095283132587,132248.22,408536620.6339999,408668868.8539999,-350728450.2939999
0.026012531328320803,4034,97151,30,16893,0.03986756930375056,0.9926181102362205,0.07665631027373182,171171.11000000002,401518376.771,401689547.88100004,-343749129.32100004
0.028513784461152884,4030,94667,34,19377,0.04083204150075483,0.9916338582677166,0.07843442551162405,190994.83000000002,395018972.015,395209966.84499997,-337269548.28499997
0.03101503759398496,4028,92380,36,21664,0.041780765081735956,0.9911417322834646,0.08018154311649017,206570.58,388523992.2504999,388730562.8304999,-330790144.2704999
0.03351629072681704,4025,90146,39,23898,0.04274139597115885,0.9904035433070866,0.0819463531327938,220469.62500000003,382382367.4789999,382602837.1039999,-324662418.5439999
0.03601754385964912,4025,88019,39,26025,0.04372908608926166,0.9904035433070866,0.0837599367378366,220469.62500000003,376044718.862,376265188.487,-318324769.927
0.0385187969924812,4018,85892,46,28152,0.04468913357802247,0.9886811023622047,0.08551301423798072,263235.71,369440749.1885001,369703984.8985001,-311763566.3385001
0.04102005012531328,4013,83825,51,30219,0.04568637719438057,0.9874507874015748,0.08733215816848383,299616.245,363120595.802,363420212.047,-305479793.487
0.043521303258145363,4005,81823,59,32221,0.046663093629118704,0.9854822834645669,0.08910692831397676,363384.645,357135637.66749996,357499022.31249994,-299558603.75249994
0.046022556390977444,4001,79932,63,34112,0.047668974062645204,0.984498031496063,0.09093491823584894,402007.64499999996,351504841.0635,351906848.70849997,-293966430.14849997
0.048523809523809525,3997,78058,67,35986,0.04871123027237828,0.983513779527559,0.09282504441528583,436044.895,345806287.738,346242332.63299996,-288301914.07299995
0.051025062656641605,3990,76324,74,37720,0.049680005976542076,0.9817913385826772,0.09457441513190644,639456.645,340570760.848,341210217.493,-283269798.93299997
0.053526315789473686,3985,74619,79,39425,0.05069716553864943,0.9805610236220472,0.09640973532684956,669232.85,335142375.9524999,335811608.80249995,-277871190.24249995
0.056027568922305766,3977,72986,87,41058,0.0516741811000091,0.9785925196850394,0.09816480926111051,728260.205,330176223.8135,330904484.0185,-272964065.45849997
0.05852882205513785,3972,71443,92,42601,0.052668567261154944,0.9773622047244095,0.0999509304344544,752401.505,325248042.49300003,326000443.998,-268060025.43800002
0.06103007518796992,3966,69943,98,44101,0.053660582608342694,0.9758858267716536,0.10172752106498405,819448.005,320336633.461,321156081.466,-263215662.90600002
0.06353132832080201,3959,68494,105,45550,0.05464231984872952,0.9741633858267716,0.1034802723577767,982680.2550000001,315472776.08949995,316455456.34449995,-258515037.78449994
0.06603258145363408,3953,67156,111,46888,0.05559071284928771,0.9726870078740157,0.1051707394942333,1033365.1050000001,311070401.63949996,312103766.7445,-254163348.18449998
0.06853383458646617,3944,65818,120,48226,0.056535076402626075,0.9704724409448819,0.10684582667352967,1112217.355,306581749.46949995,307693966.82449996,-249753548.26449996
0.07103508771929824,3941,64532,123,49512,0.05755553283776087,0.9697342519685039,0.10866178639866551,1140768.105,302095414.466,303236182.57100004,-245295764.01100004
0.07353634085213033,3936,63260,128,50784,0.058574915173522236,0.968503937007874,0.11046870614650575,1176564.605,297800062.4735,298976627.07850003,-241036208.51850003
0.0760375939849624,3933,62110,131,51934,0.0595521099889466,0.9677657480314961,0.11219992297488125,1195803.605,293910171.4585,295105975.06350005,-237165556.50350004
0.07853884711779449,3929,60940,135,53104,0.060568222109173876,0.9667814960629921,0.11399474852392903,1232739.355,289681911.3175,290914650.6725,-232974232.1125
0.08104010025062656,3920,59846,144,54198,0.061474767117272525,0.9645669291338582,0.11558307533539731,1321772.225,286203216.3035,287524988.5285,-229584569.96850002
0.08354135338345864,3916,58739,148,55305,0.06250099752613518,0.9635826771653543,0.1173878505373282,1343917.975,282252539.378,283596457.35300004,-225656038.79300004
