t_low,t_high,fraud_loss,customer_loss,op_cost,total_cost,savings,effective_recall,n_challenged,n_blocked,challenge_rate,block_rate,legit_challenged,legit_blocked
0.02,0.8200000000000001,5773636.79925,29024170.916920003,523455.0,35321262.716170006,22619155.843829997,0.9081200787401574,104691,2772,0.8864005825176957,0.023470044366173334,102335,1084
0.02,0.8400000000000001,6068661.6532499995,27630751.68987,525120.0,34224533.34312,23715885.21688,0.9048351377952756,105024,2439,0.8892200358993464,0.02065059098452264,102579,840
0.02,0.86,6350457.173999999,26286604.113549996,526715.0,33163776.287549995,24776642.272450007,0.9007750984251969,105343,2120,0.8919209537033901,0.017949673180478885,102788,631
0.02,0.88,6625189.160999999,25499998.600549992,527915.0,32653102.76154999,25287315.79845001,0.8977485236220472,105583,1880,0.8939529921766519,0.01591763470721712,102946,473
0.02,0.9,6957636.683249999,24842088.802279994,529110.0,32328835.485529993,25611583.07447001,0.8936884842519685,105822,1641,0.8959765638229417,0.013894063060927287,103075,344
0.02,0.92,7104744.1695,24267500.302190002,530105.0,31902349.471690003,26038069.08831,0.889886811023622,106021,1442,0.8976614623903546,0.01220916449351441,103171,248
0.02,0.9400000000000001,7373202.755999999,23903277.82984,531130.0,31807610.58584,26132807.97416,0.8852362204724409,106226,1237,0.8993971619195991,0.01047346496426999,103250,169
0.02,0.9600000000000001,7654249.18425,23766741.27194,532185.0,31953175.45619,25987243.10381,0.8795152559055118,106437,1026,0.9011836624106749,0.008686964473194026,103306,113
0.02,0.98,8106110.734499998,23678056.64581999,534320.0,32318487.38031999,25621931.179680012,0.8659694881889763,106864,599,0.9047989975276866,0.005071629356182477,103366,53
0.04,0.04,289397.96,365696862.4164999,0.0,365986260.3764999,-308045841.8164999,0.9879429133858267,0,88679,0.0,0.7508297490432485,0,84664
0.04,0.06,365324.10425000003,324840787.54018,70760.0,325276871.64443004,-267336453.08443004,0.9862450787401574,14152,74527,0.11982253530666848,0.6310072137365801,14106,70558
0.04,0.08,435227.65775,291964880.75995,122270.0,292522378.4177,-234581959.8577,0.9845841535433071,24454,64225,0.20704778677142954,0.543781962271819,24363,60301
0.04,0.1,535664.09225,264401244.61391,162095.0,265099003.70615998,-207158585.14615998,0.9824434055118111,32419,56260,0.2744860636028042,0.47634368544044436,32270,52394
0.04,0.12000000000000001,658009.1869999999,239205736.27545,194720.0,240058465.46245,-182118046.90245,0.9807455708661418,38944,49735,0.3297321095946083,0.4210976394486402,38749,45915
0.04,0.13999999999999999,736163.4755,218026325.41851997,220975.0,218983463.89401996,-161043045.33401996,0.9787893700787402,44195,44484,0.37419141802418127,0.3766383310190673,43947,40717
0.04,0.16,798840.4242499999,198599688.46374,243205.0,199641733.88799,-141701315.32799,0.9768331692913386,48641,40038,0.41183493074135535,0.3389948183018932,48340,36324
0.04,0.18,876100.358,182583232.18238997,261610.0,183720942.54038998,-125780523.98038998,0.9751722440944882,52322,36357,0.4430013208250076,0.3078284282182409,51976,32688
0.04,0.19999999999999998,975993.3799999999,167317304.93752,277640.0,168570938.31752,-110630519.75751999,0.9734005905511811,55528,33151,0.470145968096996,0.28068378094625257,55134,29530
0.04,0.22,1073599.94225,153804737.86828,291470.0,155169807.81053,-97229389.25053,0.9717396653543308,58294,30385,0.49356521150133775,0.2572645375419108,57855,26809
0.04,0.24,1216901.4200000002,142838540.27619997,303210.0,144358651.69619995,-86418233.13619995,0.9701156496062993,60642,28037,0.5134453212314153,0.23738442781183325,60159,24505
